pelvis,shoulder,elbow,wrist,x,y,z
-1.57,-1.57,-1.57,0.0,-0.06107012953287095,-0.5526992723397066,0.18562741227371732
-1.57,-1.57,-1.57,0.25,-0.0610643435700088,-0.545433459263713,0.12680394736977252
-1.57,-1.57,-1.57,0.5,-0.06104714841018816,-0.5238403692205927,0.07160675302844347
-1.57,-1.57,-1.57,0.75,-0.061019613165163265,-0.4892625559647954,0.023467723450607714
-1.57,-1.57,-1.57,1.0,-0.06098344984310499,-0.4438499004496489,-0.014620089662185531
-1.57,-1.57,-1.57,1.25,-0.0609409069042247,-0.39042594164246347,-0.0402885705659079
-1.57,-1.57,-1.57,1.5,-0.0608946294624086,-0.3323123225471297,-0.05194177744123252
-1.57,-1.57,-1.57,1.57,-0.0608813915711407,-0.315688634188866,-0.05257211419582436
-1.57,-1.57,-1.32,0.0,-0.061060506410319404,-0.5406148861566795,0.08845633368532152
-1.57,-1.57,-1.32,0.25,-0.061043311250498763,-0.5190217961135594,0.03325913934399241
-1.57,-1.57,-1.32,0.5,-0.06101577600547387,-0.4844439828577618,-0.01487989023384334
-1.57,-1.57,-1.32,0.75,-0.0609796126834156,-0.43903132734261585,-0.052967703346636696
-1.57,-1.57,-1.32,1.0,-0.06093706974453531,-0.38560736853542993,-0.0786361842503589
-1.57,-1.57,-1.32,1.25,-0.06089079230271921,-0.32749374944009635,-0.09028939112568363
-1.57,-1.57,-1.32,1.5,-0.060843657665158285,-0.2683036934232225,-0.08720278401049325
-1.57,-1.57,-1.32,1.57,-0.060830707122465966,-0.2520408475189505,-0.08370075750060257
-1.57,-1.57,-1.07,0.0,-0.06103203834743509,-0.5048656723298748,-0.0027042054552080808
-1.57,-1.57,-1.07,0.25,-0.0610045031024102,-0.4702878590740772,-0.05084323503304389
-1.57,-1.57,-1.07,0.5,-0.060968339780351925,-0.4248752035589311,-0.08893104814583708
-1.57,-1.57,-1.07,0.75,-0.06092579684147163,-0.37145124475174546,-0.1145995290495595
-1.57,-1.57,-1.07,1.0,-0.06087951939965554,-0.31333762565641166,-0.126252735924884
-1.57,-1.57,-1.07,1.25,-0.06083238476209461,-0.2541475696395379,-0.1231661288096938
-1.57,-1.57,-1.07,1.5,-0.060787323532259484,-0.19756122770187567,-0.1055316179846722
-1.57,-1.57,-1.07,1.57,-0.06077546554016243,-0.182670369242109,-0.09811496725689434
-1.57,-1.57,-0.8200000000000001,0.0,-0.06098649535048533,-0.4476743438265398,-0.08218628435300918
-1.57,-1.57,-0.8200000000000001,0.25,-0.06095033202842705,-0.40226168831139364,-0.12027409746580248
-1.57,-1.57,-0.8200000000000001,0.5,-0.06090778908954676,-0.348837729504208,-0.14594257836952468
-1.57,-1.57,-0.8200000000000001,0.75,-0.06086151164773067,-0.29072411040887436,-0.15759578524484946
-1.57,-1.57,-0.8200000000000001,1.0,-0.060814377010169736,-0.23153405439200037,-0.15450917812965898
-1.57,-1.57,-0.8200000000000001,1.25,-0.060769315780334614,-0.1749477124543381,-0.13687466730463765
-1.57,-1.57,-0.8200000000000001,1.5,-0.06072912964724591,-0.12448334926607811,-0.10578868124151963
-1.57,-1.57,-0.8200000000000001,1.57,-0.060719101478259464,-0.11189031970714423,-0.09491853771614378
-1.57,-1.57,-0.5700000000000001,0.0,-0.06092670906243654,-0.372596780451314,-0.1450480923074095
-1.57,-1.57,-0.5700000000000001,0.25,-0.06088416612355625,-0.3191728216441283,-0.17071657321113182
-1.57,-1.57,-0.5700000000000001,0.5,-0.06083788868174015,-0.26105920254879456,-0.18236978008645643
-1.57,-1.57,-0.5700000000000001,0.75,-0.060790754044179225,-0.20186914653192073,-0.17928317297126634
-1.57,-1.57,-0.5700000000000001,1.0,-0.060745692814344096,-0.1452828045942584,-0.16164866214624468
-1.57,-1.57,-0.5700000000000001,1.25,-0.0607055066812554,-0.09481844140599834,-0.13056267608312688
-1.57,-1.57,-0.5700000000000001,1.5,-0.06067269422403021,-0.05361368665001558,-0.08795799083279049
-1.57,-1.57,-0.5700000000000001,1.57,-0.060665119381131304,-0.04410145957654145,-0.07431020738553978
-1.57,-1.57,-0.32000000000000006,0.0,-0.06085639670510941,-0.2843009414625999,-0.1873811865660237
-1.57,-1.57,-0.32000000000000006,0.25,-0.060810119263293314,-0.22618732236726619,-0.19903439344134843
-1.57,-1.57,-0.32000000000000006,0.5,-0.06076298462573239,-0.16699726635039236,-0.19594778632615806
-1.57,-1.57,-0.32000000000000006,0.75,-0.06071792339589726,-0.11041092441273002,-0.17831327550113674
-1.57,-1.57,-0.32000000000000006,1.0,-0.060677737262808555,-0.05994656122446995,-0.14722728943801872
-1.57,-1.57,-0.32000000000000006,1.25,-0.06064492480558337,-0.018741806468487027,-0.10462260418768254
-1.57,-1.57,-0.32000000000000006,1.5,-0.060621526143887404,0.010641427776477946,-0.05314817272655398
-1.57,-1.57,-0.32000000000000006,1.57,-0.06061687559411933,0.01648142815678682,-0.03757130243021373
-1.57,-1.57,-0.07000000000000006,0.0,-0.06077992996033018,-0.1882766344747696,-0.20655350036486098
-1.57,-1.57,-0.07000000000000006,0.25,-0.060732795322769255,-0.12908657845789573,-0.2034668932496707
-1.57,-1.57,-0.07000000000000006,0.5,-0.060687734092934126,-0.07250023652023348,-0.18583238242464917
-1.57,-1.57,-0.07000000000000006,0.75,-0.06064754795984542,-0.022035873331973405,-0.15474639636153148
-1.57,-1.57,-0.07000000000000006,1.0,-0.06061473550262023,0.019168881424009528,-0.11214171111119486
-1.57,-1.57,-0.07000000000000006,1.25,-0.06059133684092427,0.048552115668974695,-0.06066727965006663
-1.57,-1.57,-0.07000000000000006,1.5,-0.0605788067902122,0.06428692221295229,-0.0035235328140417466
-1.57,-1.57,-0.07000000000000006,1.57,-0.06057736968223497,0.0660915929620304,0.013013929981706918
-1.57,-1.57,0.17999999999999994,0.0,-0.06070206315992856,-0.09049418581015349,-0.2013729920915024
